gameid,playerid,estOFFRTG,OFFRTG,estDEFRTG,DEFRTG,estNETRTG,NETRTG,ASTpct,ASTtoTOV,ASTratio,ORBpct,DRBpct,REBpct,TOVratio,effFGpct,TSpct,USGpct,estUSGpct,estpace,pace,paceper40,POS,pie,home_basic,FGM,FGA,FGpct,3PM,3PA,3Ppct,FTM,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,plusminusPTS,home,win,date,team,name,SEC,PTSoffTOV,2ndPTS,FBPTS,PIP,oppPTSoffTOV,opp2ndPTS,oppFBPTS,oppPIP,BLKA,foulsdrawn,SPD,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct,date_num
22200157,1630590,60.5,66.7,66.7,66.7,-6.1,0.0,0.0,0.0,0.0,0.111,0.1,0.105,25.0,0.0,0.174,0.211,0.216,116.68,111.05,92.54,15,-0.875,0,0,2,0.0,0,0,0.0,1,2,0.5,1,1,2,0,0,0,1,2,1,0,29,1.0,2022-11-07 00:00:00,14,467,389,1,0,0,0,4,4,0,8,1,2,4.52,0.56,2,2,4,17,0,0,12,0,1,0.0,0,1,0.0,1,1,1.0,21.0
22200459,1630590,80.3,76.7,102.7,103.4,-22.4,-26.8,0.143,1.0,12.5,0.053,0.063,0.057,12.5,0.3,0.34,0.2,0.214,95.74,97.66,81.38,30,0.025,0,1,5,0.2,1,2,0.5,1,2,0.5,1,1,2,1,1,1,1,1,4,-7,24,1.0,2022-12-19 00:00:00,14,467,870,0,0,0,0,5,5,0,10,0,1,4.3,1.11,1,2,3,29,0,1,21,0,3,0.0,1,2,0.5,0,0,0.0,61.0
22200590,1630590,100.0,100.0,66.7,50.0,33.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,112.21,130.91,109.09,3,-0.154,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,14,1.0,2023-01-06 00:00:00,14,467,77,0,0,0,0,0,0,0,2,0,0,3.62,0.09,0,1,1,3,0,0,1,0,0,0.0,0,1,0.0,0,1,0.0,78.0
22200609,1630590,110.3,120.0,82.0,66.7,28.3,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.82,0.333,0.311,109.27,116.47,97.06,5,0.4,0,2,2,1.0,0,0,0.0,0,1,0.0,0,0,0,0,1,0,0,0,4,2,8,1.0,2023-01-09 00:00:00,14,467,136,0,0,0,4,0,0,0,2,0,1,4.62,0.21,0,1,1,5,0,0,3,0,0,0.0,2,2,1.0,1,1,1.0,81.0
22200719,1630590,135.1,133.3,133.3,150.0,1.8,-16.7,0.25,0.0,25.0,0.0,0.0,0.0,0.0,0.5,0.521,0.273,0.304,83.87,79.74,66.45,9,0.085,1,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0,1,0,0,0,0,3,0,14,0.0,2023-01-24 00:00:00,14,467,307,0,1,0,2,0,2,0,6,1,1,4.26,0.39,1,0,1,13,0,0,8,0,1,0.0,1,1,1.0,0,0,0.0,96.0
22200812,1630620,130.8,150.0,220.0,220.0,-89.2,-70.0,0.5,0.0,50.0,0.25,1.0,0.4,0.0,1.0,1.0,0.125,0.127,116.38,107.76,89.8,6,0.209,1,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,2,-2,11,0.0,2023-02-06 00:00:00,11,101,147,0,2,0,2,0,0,0,2,0,0,4.6,0.22,2,1,3,6,0,0,5,1,1,1.0,0,0,0.0,0,0,0.0,109.0
22200860,1630620,177.6,185.7,128.6,112.5,49.0,73.2,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.0,1.0,0.375,0.361,97.73,102.37,85.31,7,0.279,0,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,0,0,0,0,0,6,4,23,1.0,2023-02-13 00:00:00,11,101,211,0,0,0,0,2,0,2,2,0,0,3.96,0.27,0,1,1,6,0,0,3,0,0,0.0,2,3,0.667,0,0,0.0,116.0
22200880,1630620,91.7,91.9,95.1,102.8,-3.4,-10.9,0.0,0.0,0.0,0.0,0.176,0.077,0.0,0.357,0.444,0.186,0.19,105.23,101.08,84.23,37,0.076,0,2,7,0.286,1,6,0.167,2,2,1.0,0,3,3,0,0,1,0,2,7,-3,21,1.0,2023-02-15 00:00:00,11,101,1040,2,5,0,2,5,1,7,16,1,1,4.36,1.36,2,6,8,30,0,0,22,1,1,1.0,1,6,0.167,1,1,1.0,118.0
22200901,1630620,100.0,66.7,0.0,0.0,100.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,71.29,85.54,71.29,3,-2.0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,10,1.0,2023-02-24 00:00:00,11,101,101,0,0,0,0,0,0,0,0,0,0,3.56,0.11,0,0,0,1,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,121.0
22200678,1630637,200.0,133.3,200.0,200.0,0.0,-66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.333,109.09,130.91,109.09,3,0.174,0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2,9,0.0,2023-01-19 00:00:00,5,63,66,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,91.0
22200883,1630637,114.7,111.6,101.9,100.0,12.9,11.6,0.111,2.0,22.2,0.042,0.083,0.063,11.1,0.0,0.087,0.137,0.143,93.95,96.12,80.1,43,-0.042,1,0,4,0.0,0,1,0.0,1,4,0.25,1,2,3,2,0,0,1,1,1,4,5,0.0,2023-02-16 00:00:00,5,63,1303,1,0,0,0,0,7,6,10,0,2,4.03,1.54,2,2,4,35,0,0,28,0,2,0.0,0,2,0.0,0,0,0.0,119.0
22201140,1630637,138.9,133.3,0.0,0.0,138.9,133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.09,110.77,92.31,3,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,5,0.0,2023-03-29 00:00:00,5,63,78,0,0,0,0,0,0,0,0,0,0,3.53,0.08,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,154.0
